id	vesseltype	strain	strength	vesselnum	forprecult	hasaa	hasdw	hasod	hasoa	hasbiolog	samplingdate
1	calibration		100%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
2	medium	ccpa	100%	1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	20180919
3	medium	ccpa	100%	2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	20180919
4	medium	ccpa	100%	3	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	20180919
5	chemostat	ccpa	100%	1	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20180919
6	chemostat	ccpa	100%	2	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20180919
7	chemostat	ccpa	100%	3	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20180919
8	chemostat	ccpa	100%	4	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20180919
9	chemostat	wt	100%	1	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20181205
10	chemostat	wt	100%	2	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20181205
11	chemostat	wt	100%	3	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20181205
12	chemostat	wt	100%	4	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	20181205
13	medium	wt	100%	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	20181205
14	medium	wt	100%	2	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	20181205
15	water		100%		FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	
16	calibration		96%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
17	calibration		90%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
18	calibration		80%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
19	calibration		70%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
20	calibration		60%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
21	calibration		50%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
22	calibration		40%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
23	calibration		30%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
24	calibration		20%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
25	calibration		10%		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
